Name,Usage,Parent,Tags,Value,Units
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_15,,\AXUV.DIODEARRAY3.CH_15.VOLTAGE / \AXUV.DIODEARRAY3.CH_15.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_15,,218.7,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_15,,0.405022561871558,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_15,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_15,,-2.0838399388438984,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_15,,0.06405178964046139,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_15,,3.230799913406372,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_15,,6.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_15,,-14.022600173950195,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_15,,0.2966000139713287,
AXUV.DIODEARRAY3.CH_16,SIGNAL,,,\AXUV.DIODEARRAY3.CH_16.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_16,,\AXUV.DIODEARRAY3.CH_16.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_16,,\ACQ1001_639.CH_47,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_16,,\AXUV.DIODEARRAY3.CH_16.VOLTAGE / \AXUV.DIODEARRAY3.CH_16.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_16,,220.2,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_16,,0.40503370307296654,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_16,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_16,,-2.0814945835222862,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_16,,0.07774026976689717,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_16,,3.3413000106811523,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_16,,5.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_16,,-16.863399505615234,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_16,,0.2879999876022339,
AXUV.DIODEARRAY3.CH_17,SIGNAL,,,\AXUV.DIODEARRAY3.CH_17.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_17,,\AXUV.DIODEARRAY3.CH_17.VOLTAGE.RAW * -1,
